sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Perceived. Util. 4;User Bother 1;User Bother 2;User Bother 3;User Bother 4;User Util. 1;User Util. 2;User Util. 3;User Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
0.523;30;;30rounds;Yes;No;4;0.28657;0.79881;0.17715;0.64191;2.37228;BoulwareNegotiationParty@99;ExampleAgent@100;ImprovedRandomAgent@101;BoulwareNegotiationParty@102;0.525;0.2865677367245846;0.7988106839805039;0.76190405;0.525;0.2865677367245846;0.7988106839805039;0.76190405;0.525;0.2865677367245846;0.7988106839805039;0.76190405;0.0;0.0;0.0;0.0;0.525;0.2865677367245846;0.7988106839805039;0.76190405;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.482;30;;30rounds;Yes;No;4;0.64549;0.77083;0.06013;0.22799;2.86531;ImprovedRandomAgent@103;ExampleAgent@104;ImprovedRandomAgent@105;BoulwareNegotiationParty@106;0.7708333333333333;0.6454927997908736;0.7585111282746693;0.6904755500000002;0.7708333333333333;0.6454927997908736;0.7585111282746693;0.6904755500000002;0.7708333333333333;0.6454927997908736;0.7585111282746693;0.6904755500000002;0.0;0.0;0.0;0.0;0.7708333333333333;0.6454927997908736;0.7585111282746693;0.6904755500000002;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.591;28;;30rounds;Yes;No;4;0.40535;0.81230;0.12357;0.48414;2.57099;ExampleAgent@107;ExampleAgent@108;ImprovedRandomAgent@109;BoulwareNegotiationParty@110;0.6866666666666668;0.4053543051227972;0.8123046349003762;0.6666660500000001;0.6866666666666668;0.4053543051227972;0.8123046349003762;0.6666660500000001;0.6866666666666668;0.4053543051227972;0.8123046349003762;0.6666660500000001;0.0;0.0;0.0;0.0;0.6866666666666668;0.4053543051227972;0.8123046349003762;0.6666660500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
;29;Session genius.core.session.Session@2a7d67f7 failed: Failed to execute protocol: null:[agents.ABMPAgent2, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\ExampleAgent.class, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\ImprovedRandomAgent.class, negotiator.parties.BoulwareNegotiationParty];30rounds;No;;0;;;;;;ABMPAgent2;ExampleAgent;ImprovedRandomAgent;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;21;Session genius.core.session.Session@559ba1cd failed: Failed to execute protocol: null:[negotiator.parties.BoulwareNegotiationParty, agents.ABMPAgent2, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\ImprovedRandomAgent.class, negotiator.parties.BoulwareNegotiationParty];30rounds;No;;0;;;;;;BoulwareNegotiationParty;ABMPAgent2;ImprovedRandomAgent;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;21;Session genius.core.session.Session@5ab9fe64 failed: Failed to execute protocol: null:[C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\ImprovedRandomAgent.class, agents.ABMPAgent2, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\ImprovedRandomAgent.class, negotiator.parties.BoulwareNegotiationParty];30rounds;No;;0;;;;;;ImprovedRandomAgent;ABMPAgent2;ImprovedRandomAgent;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;20;Session genius.core.session.Session@5b29517d failed: Failed to execute protocol: null:[C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\ExampleAgent.class, agents.ABMPAgent2, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\ImprovedRandomAgent.class, negotiator.parties.BoulwareNegotiationParty];30rounds;No;;0;;;;;;ExampleAgent;ABMPAgent2;ImprovedRandomAgent;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;21;Session genius.core.session.Session@605e4ed1 failed: Failed to execute protocol: null:[agents.ABMPAgent2, agents.ABMPAgent2, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\ImprovedRandomAgent.class, negotiator.parties.BoulwareNegotiationParty];30rounds;No;;0;;;;;;ABMPAgent2;ABMPAgent2;ImprovedRandomAgent;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
0.727;30;;30rounds;Yes;No;4;0.41416;0.79859;0.09727;0.49141;2.62121;BoulwareNegotiationParty@131;BoulwareNegotiationParty@132;ExampleAgent@133;BoulwareNegotiationParty@134;0.6108333333333333;0.41416485151225707;0.7985903004227446;0.797618275;0.6108333333333333;0.41416485151225707;0.7985903004227446;0.797618275;0.6108333333333333;0.41416485151225707;0.7985903004227446;0.797618275;0.0;0.0;0.0;0.0;0.6108333333333333;0.41416485151225707;0.7985903004227446;0.797618275;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.500;31;;30rounds;Yes;No;4;0.39892;0.70727;0.25746;0.57951;2.21857;ImprovedRandomAgent@135;BoulwareNegotiationParty@136;ExampleAgent@137;BoulwareNegotiationParty@138;0.4933333333333333;0.3989174840328922;0.7072711391249407;0.6190471;0.4933333333333333;0.3989174840328922;0.7072711391249407;0.6190471;0.4933333333333333;0.3989174840328922;0.7072711391249407;0.6190471;0.0;0.0;0.0;0.0;0.4933333333333333;0.3989174840328922;0.7072711391249407;0.6190471;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
